Date,Source,Visits,Conversions,Bounce Rate (%)
2023-01-01,Paid Search,120,27,24.06
2023-01-02,Referral,725,30,28.36
2023-01-03,Organic Search,585,92,21.52
2023-01-04,Email,734,17,31.58
2023-01-05,Organic Search,129,10,63.7
2023-01-06,Email,189,65,68.39
2023-01-07,Social Media,545,19,35.65
2023-01-08,Referral,197,86,25.67
2023-01-09,Organic Search,342,64,38.71
2023-01-10,Paid Search,929,67,61.84
2023-01-11,Social Media,118,79,77.62
2023-01-12,Organic Search,702,79,21.01
2023-01-13,Email,374,21,68.17
2023-01-14,Email,875,39,41.56
2023-01-15,Paid Search,756,93,24.57
2023-01-16,Organic Search,235,19,72.79
2023-01-17,Organic Search,329,16,34.42
2023-01-18,Paid Search,265,7,21.44
2023-01-19,Organic Search,108,71,37.35
2023-01-20,Referral,467,59,71.56
2023-01-21,Social Media,925,17,42.67
2023-01-22,Email,726,49,41.1
2023-01-23,Social Media,153,78,27.96
2023-01-24,Referral,839,68,77.43
2023-01-25,Organic Search,741,93,50.8
2023-01-26,Social Media,684,90,22.64
2023-01-27,Social Media,991,31,61.28
2023-01-28,Paid Search,444,91,77.24
2023-01-29,Email,929,37,78.63
2023-01-30,Referral,190,89,39.72
2023-01-31,Paid Search,795,79,54.56
2023-02-01,Social Media,585,7,38.94
2023-02-02,Social Media,120,76,40.21
2023-02-03,Social Media,717,66,35.2
2023-02-04,Referral,127,10,66.84
2023-02-05,Referral,800,29,53.42
2023-02-06,Referral,566,20,70.19
2023-02-07,Organic Search,423,21,63.84
2023-02-08,Email,703,7,24.36
2023-02-09,Email,501,87,66.27
2023-02-10,Referral,672,49,76.19
2023-02-11,Referral,630,100,57.86
2023-02-12,Organic Search,855,97,75.69
2023-02-13,Email,471,73,35.99
2023-02-14,Email,941,96,74.81
2023-02-15,Social Media,536,31,65.41
2023-02-16,Paid Search,581,8,72.74
2023-02-17,Organic Search,732,80,35.07
2023-02-18,Referral,607,49,30.61
2023-02-19,Referral,452,11,78.77
2023-02-20,Paid Search,818,64,32.63
2023-02-21,Social Media,777,76,79.88
2023-02-22,Referral,167,84,59.02
2023-02-23,Paid Search,517,76,60.11
2023-02-24,Social Media,692,18,76.62
2023-02-25,Referral,564,71,59.59
2023-02-26,Organic Search,388,83,42.77
2023-02-27,Social Media,869,23,38.01
2023-02-28,Referral,349,28,74.96
2023-03-01,Referral,568,59,53.86
2023-03-02,Social Media,553,11,24.0
2023-03-03,Email,266,66,43.03
2023-03-04,Email,981,8,33.6
2023-03-05,Paid Search,483,65,31.31
2023-03-06,Referral,134,23,31.75
2023-03-07,Social Media,807,83,38.33
2023-03-08,Organic Search,257,61,48.6
2023-03-09,Social Media,978,52,61.59
2023-03-10,Social Media,366,75,59.12
2023-03-11,Email,892,14,61.1
2023-03-12,Email,262,31,28.72
2023-03-13,Organic Search,858,46,57.03
2023-03-14,Social Media,916,19,78.31
2023-03-15,Organic Search,362,75,30.1
2023-03-16,Email,280,72,40.33
2023-03-17,Referral,557,36,24.84
2023-03-18,Paid Search,439,78,39.89
2023-03-19,Paid Search,940,26,50.24
2023-03-20,Email,811,45,75.65
2023-03-21,Paid Search,468,64,30.03
2023-03-22,Email,129,14,51.97
2023-03-23,Paid Search,421,47,25.0
2023-03-24,Paid Search,759,70,52.71
2023-03-25,Email,242,12,67.56
2023-03-26,Paid Search,284,13,37.83
2023-03-27,Paid Search,400,60,74.56
2023-03-28,Referral,776,32,28.57
2023-03-29,Paid Search,467,65,24.95
2023-03-30,Organic Search,828,87,51.27
2023-03-31,Email,646,53,53.39
2023-04-01,Paid Search,931,90,75.7
2023-04-02,Email,647,91,66.61
2023-04-03,Paid Search,731,83,59.43
2023-04-04,Paid Search,812,97,56.46
2023-04-05,Organic Search,914,29,46.79
2023-04-06,Paid Search,604,9,22.66
2023-04-07,Email,352,61,37.21
2023-04-08,Email,997,17,66.33
2023-04-09,Organic Search,144,87,20.79
2023-04-10,Referral,147,70,73.14
